order_id,product_id,quantity,price_at_purchase
5001,1001,2,799
5001,1017,1,599
5002,1006,2,999
5002,1027,1,699
5003,1003,1,1999
5003,1016,2,699
5004,1008,1,2499
5005,1002,1,2499
5005,1001,1,799
5006,1026,3,349
5006,1029,2,599
5007,1022,1,2499
5007,1025,2,399
5008,1011,1,3299
5008,1014,2,899
5009,1004,1,3499
5010,1018,1,999
5010,1017,2,599
5011,1003,2,1899
5011,1001,1,799
5012,1016,1,699
5012,1018,1,999
5013,1021,2,899
5013,1023,1,599
5014,1007,1,1899
5015,1012,1,1299
5015,1014,2,899
5016,1022,1,2399
5016,1025,3,399
5017,1006,1,999
5017,1009,1,1599
5018,1027,2,699
5018,1029,1,599
5019,1011,1,3199
5019,1015,2,749
5020,1004,1,3399
5020,1017,1,599
5021,1002,1,2399
5021,1003,1,1899
5022,1011,1,3199
5022,1012,2,1199
5023,1008,1,2399
5023,1010,2,799
5024,1028,1,1499
5025,1016,2,649
5025,1019,1,799
5026,1001,3,749
5026,1017,1,599
5027,1021,1,899
5027,1023,3,549
5028,1026,2,349
5028,1027,1,649
5029,1006,2,949
5029,1009,1,1499
5030,1018,2,949
5030,1020,1,499
5031,1003,1,1899
5031,1004,1,3299
5032,1012,2,1199
5032,1015,1,749
5033,1022,1,2399
5033,1023,2,549
5034,1007,2,1799
5035,1001,1,749
5035,1002,1,2299
5035,1017,1,549
5036,1026,3,329
5036,1029,2,549
5037,1011,1,3099
5037,1014,2,849
5038,1008,1,2299
5038,1010,1,749
5039,1016,1,649
5039,1018,2,899
5040,1021,2,849
5040,1025,3,349
5041,1003,2,1799
5041,1001,1,749
5042,1012,1,1199
5042,1014,2,849
5043,1022,1,2299
5044,1016,2,599
5044,1017,1,549
5045,1027,2,649
5045,1029,2,549
5046,1006,1,899
5046,1009,2,1499
5047,1011,1,2999
5047,1015,2,699
5048,1023,3,499
5048,1025,2,349
5049,1002,1,2199
5049,1003,1,1799
5050,1018,1,899
5050,1017,2,549
5051,1011,1,2999
5051,1012,1,1099
5052,1008,2,2199
5052,1010,1,749
5053,1028,1,1399
5054,1016,1,599
5054,1019,2,749
5055,1021,1,799
5055,1023,2,499
5056,1001,2,699
5056,1002,1,2199
5057,1026,2,329
5057,1029,1,549
5058,1022,1,2299
5058,1025,2,349
5059,1017,1,549
5059,1018,1,899
5060,1003,1,1799
5060,1004,1,3199
