order_id,customer_id,order_date,order_status
5001,1,2025-06-02,Delivered
5002,2,2025-06-04,Delivered
5003,3,2025-06-06,Delivered
5004,4,2025-06-08,Cancelled
5005,5,2025-06-10,Delivered
5006,6,2025-06-12,Delivered
5007,7,2025-06-15,Delivered
5008,8,2025-06-18,Delivered
5009,9,2025-06-21,Cancelled
5010,10,2025-06-25,Delivered
5011,1,2025-07-01,Delivered
5012,3,2025-07-03,Delivered
5013,11,2025-07-05,Delivered
5014,12,2025-07-07,Cancelled
5015,5,2025-07-10,Delivered
5016,7,2025-07-12,Delivered
5017,2,2025-07-15,Delivered
5018,13,2025-07-18,Delivered
5019,6,2025-07-21,Delivered
5020,9,2025-07-25,Delivered
5021,1,2025-08-02,Delivered
5022,4,2025-08-04,Delivered
5023,8,2025-08-06,Delivered
5024,10,2025-08-09,Cancelled
5025,14,2025-08-12,Delivered
5026,3,2025-08-15,Delivered
5027,5,2025-08-18,Delivered
5028,11,2025-08-20,Delivered
5029,7,2025-08-23,Delivered
5030,15,2025-08-27,Delivered
5031,2,2025-09-01,Delivered
5032,6,2025-09-03,Delivered
5033,9,2025-09-06,Delivered
5034,12,2025-09-09,Cancelled
5035,1,2025-09-12,Delivered
5036,13,2025-09-15,Delivered
5037,4,2025-09-18,Delivered
5038,8,2025-09-21,Delivered
5039,10,2025-09-24,Delivered
5040,14,2025-09-28,Delivered
5041,3,2025-10-02,Delivered
5042,5,2025-10-05,Delivered
5043,7,2025-10-08,Cancelled
5044,11,2025-10-11,Delivered
5045,15,2025-10-14,Delivered
5046,2,2025-10-17,Delivered
5047,6,2025-10-20,Delivered
5048,9,2025-10-23,Delivered
5049,13,2025-10-26,Delivered
5050,1,2025-10-30,Delivered
5051,4,2025-11-02,Delivered
5052,8,2025-11-05,Delivered
5053,10,2025-11-08,Cancelled
5054,12,2025-11-11,Delivered
5055,14,2025-11-14,Delivered
5056,3,2025-11-17,Delivered
5057,5,2025-11-20,Preparing
5058,7,2025-11-23,Out for Delivery
5059,11,2025-11-26,Pending
5060,15,2025-11-29,Delivered
