payment_id,order_id,payment_method,amount,payment_status,payment_date
9001,5001,UPI,2197,Success,2025-06-02
9002,5002,Card,2697,Success,2025-06-04
9003,5003,Net Banking,3397,Success,2025-06-06
9004,5004,Card,2499,Refunded,2025-06-08
9005,5005,UPI,3298,Success,2025-06-10
9006,5006,Cash,2245,Success,2025-06-12
9007,5007,Card,3297,Success,2025-06-15
9008,5008,UPI,5097,Success,2025-06-18
9009,5009,UPI,3499,Failed,2025-06-21
9010,5010,Card,2197,Success,2025-06-25
9011,5011,UPI,4597,Success,2025-07-01
9012,5012,Cash,1698,Success,2025-07-03
9013,5013,Card,2397,Success,2025-07-05
9014,5014,UPI,1899,Refunded,2025-07-07
9015,5015,Net Banking,3097,Success,2025-07-10
9016,5016,Card,3596,Success,2025-07-12
9017,5017,UPI,2598,Success,2025-07-15
9018,5018,Card,1997,Success,2025-07-18
9019,5019,Net Banking,4697,Success,2025-07-21
9020,5020,UPI,3998,Success,2025-07-25
9021,5021,Card,4298,Success,2025-08-02
9022,5022,UPI,5597,Success,2025-08-04
9023,5023,Cash,3997,Success,2025-08-06
9024,5024,Card,1499,Refunded,2025-08-09
9025,5025,UPI,2097,Success,2025-08-12
9026,5026,Net Banking,2846,Success,2025-08-15
9027,5027,Card,2546,Success,2025-08-18
9028,5028,UPI,1347,Success,2025-08-20
9029,5029,Cash,3397,Success,2025-08-23
9030,5030,Card,2397,Success,2025-08-27
9031,5031,UPI,5198,Success,2025-09-01
9032,5032,Card,3147,Success,2025-09-03
9033,5033,Net Banking,3497,Success,2025-09-06
9034,5034,UPI,3598,Refunded,2025-09-09
9035,5035,Card,3597,Success,2025-09-12
9036,5036,UPI,2085,Success,2025-09-15
9037,5037,Cash,4797,Success,2025-09-18
9038,5038,Card,3048,Success,2025-09-21
9039,5039,UPI,2447,Success,2025-09-24
9040,5040,Net Banking,2745,Success,2025-09-28
9041,5041,Card,4347,Success,2025-10-02
9042,5042,UPI,2897,Success,2025-10-05
9043,5043,Card,2299,Refunded,2025-10-08
9044,5044,Cash,1747,Success,2025-10-11
9045,5045,UPI,2396,Success,2025-10-14
9046,5046,Card,3897,Success,2025-10-17
9047,5047,Net Banking,4397,Success,2025-10-20
9048,5048,UPI,2195,Success,2025-10-23
9049,5049,Card,3998,Success,2025-10-26
9050,5050,UPI,1997,Success,2025-10-30
9051,5051,Card,4098,Success,2025-11-02
9052,5052,UPI,5147,Success,2025-11-05
9053,5053,Card,1399,Refunded,2025-11-08
9054,5054,Net Banking,2097,Success,2025-11-11
9055,5055,UPI,1797,Success,2025-11-14
9056,5056,Card,3597,Success,2025-11-17
9057,5057,UPI,1207,Success,2025-11-20
9058,5058,Cash,2997,Success,2025-11-23
9059,5059,UPI,1448,Success,2025-11-26
9060,5060,Net Banking,4998,Success,2025-11-29
